asin,rating,date,verified,helpfulVotes,brand,product,averageRating,totalReviews,mergedReviewText,verification_status,sentimentLabel
B07PQSYGKB,5,11-Dec-19,TRUE,0,OnePlus,OnePlus 6T A6013 128GB Mirror Black - T-Mobile (Renewed),4.3,52,Exelente Exelente telefon. Lo mejor por el precio que pague,Verified,Positive
B0096QYH80,5,4-Feb-15,TRUE,0,Motorola,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",3,488,Five Stars Excelente!,Verified,Positive
B01NB1KG8U,3,25-Sep-19,TRUE,0,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),4,308,Piece of junk. The biggest mistake I made.,Verified,Negative
B06XRG6S73,1,3-Oct-18,TRUE,4,Apple,"Apple iPhone 6S, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.7,379,"Does not work with CDMA carriers The phone itself was good: the screen was in good condition and there were only a few nicks here and there. However, after calling Virgin Mobile (which is under Sprint), I was told the phone was not compatible with my provider. Very disappointed. If it doesn't work with CDMA carriers, don't put that in the description.",Verified,Positive
B071JP8XDJ,5,16-Jan-18,TRUE,0,Sony,Sony Xperia XA1 Ultra G3223 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP - Gold,3.6,313,"Excellent phone. Fast and responsive Excellent phone. Fast and responsive. Easy to use. Unlocked. I use it with MetroPCS and I had no issue when i took it in, they just plug and play your simcard from your old phone (I had an iphone 4S). Doesn't cost you a cent to activate it or pay for a new sim. (If they try to charge you, refuse, and tell them to make it work with your previous SIM!!). Also, aesthetically, the phone looks awesome. Great screen display, camera quality. BUY IT. Get the phone from the seller ""99Direct"". Just bought it from them and it looks brand spanking new, works like new as well.",Verified,Positive
B077578VXH,5,8-Nov-19,TRUE,0,Apple,"Apple iPhone 8, GSM Unlocked, 64GB - Gold (Renewed)",4.2,72,So Far So Good(: Mint condition sans 1 minor blemish on the lower left corner (which is now covered up by my phone case)! I have Metro by T-Mobile (i.e. Metro PCS) and had no trouble activating/using this phone immediately!! (:,Verified,Positive
B075FLG6MV,4,25-Aug-18,TRUE,0,Nokia,"Nokia 2 - Android - 8GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5"" Screen - Black - U.S. Warranty",3.1,359,"Great Phone, not so great camera. The material feels and look good, so far no lag or freeze. The camera just isn't that great.",Verified,Positive
B07643YNY8,5,18-Jun-19,TRUE,0,Apple,"Apple iPhone SE, 32GB, Gold - For AT&T / T-Mobile (Renewed)",3.8,61,almost new! almost new! a gift sent to a 12 yr old nephew who is in Asia. He was happy. Thank you.,Verified,Positive
B01FJT7N4W,5,8-Oct-17,TRUE,2,Sony,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black,3.8,200,"Sony Xperia X Another quality Sony product for my collection. Yes there are some quirks but if you have ever owned anything Sony before you should expect that. I love the build quality of the phone. It's my hi-res audio player, PS4 remote player, really nice mega pixel camera, great triluminous tv, and,oh yeah, phone.",Verified,Positive
B07C6FCC8G,4,4-Sep-18,TRUE,0,HUAWEI,"Huawei Mate 10 Pro Unlocked Phone, 6"" 6GB/128GB, AI Processor, Dual Leica Camera, Water Resistant IP67, GSM Only - Mocha Brown (US Warranty)",4.4,602,Nice looking phone Very nice looking phone camera is pretty good. The volume is not high wish the speakers work better.,Verified,Positive
B06XW9RMYW,5,26-Sep-17,TRUE,3,Samsung,"Samsung Galaxy S7 Active G891A 32GB Unlocked GSM Shatter,Dust and Water Resistant Smartphone w/ 12MP Camera (AT&T) - Sandy Gold",3.5,160,"As Expected or Better I paid a little extra and opted for the expedited shipping. The phone arrived within 4 days (over a weekend) which was just prior to the beginning of the expected delivery window. The phone was advertised as ""very good"". I would judge it to be at least at that level. There were no obvious signs of wear. It also came with a Samsung charger/cable, Samsung earphones and a SIM card extraction tool. Out of the box, the phone had about a 90% charge and went directly to the set-up application and was working in short order. It's been less than 24 hours since I received it but so far I have no complaints.",Verified,Positive
B01FJT7E3M,1,22-Aug-16,FALSE,8,Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",3.6,441,"Should have read Amazon reviews first. Note your carrier before purchase. Oops, should have followed the 1 star reviews closely. Went through three from a B&M store. First one had no service. Second the LTE dropped at fixed intervals. I couldn't make a call unless I forced it to old 4G (HSDPA). Thought this was a fluke. Third phone had the same issue. I really like the way this phone looks and feels, however, if a phone can't make a call or go online with LTE... All 3 phones had a grueling 250mb software update out of the box. Tried with both AT&T and Cricket, and both had LTE disconnecting like clockwork. I've never seen this in a phone before... Let alone a SONY. This is the 5 generation (or is it 6th) of SONY I've purchased, and I cannot believe this passed SONY quality assurance like THIS. AT&T is not exactly an unknown phone carrier either.",Not Verified,Negative
B07N91S9MW,5,15-Dec-19,TRUE,0,Motorola,"Moto G7 – Unlocked – 64 GB – Ceramic Black (US Warranty) - Verizon, AT&T, T-Mobile, Sprint, Boost, Cricket, & Metro",4.1,361,Rocking the G7 Fantastic phone recommended to me by a friend. So many functions with a fantastic battery life. I wasn't disappointed in any way with this phone.,Verified,Positive
B07JMPGNHK,5,2-Jun-19,TRUE,0,Xiaomi,"Xiaomi Mi 8 Lite (64GB, 4GB RAM) 6.26"" Full Screen Display, Snapdragon 660, Dual AI Camera's, Factory Unlocked Phone - International Global 4G LTE Version (Black)",4.5,242,Excelente Excelente calidad de imagen,Verified,Positive
B00OZTSY6Y,1,3-Feb-18,TRUE,5,Motorola,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",3.6,545,"Maybe its just me but.... Purchased the ""new"" phone so I wouldn't have problems with a refurbed one as this is my business phone. I have to restart the phone everyday to correct glitches. The touch screen is dumb. I have to mash buttons several times for it to recognize what I am trying to select. To place a call I have to enter the number several times before it will finally connect. It was a pain to switch everything over to the new phone so I am paranoid about trying to get another one. What a joke.",Verified,Negative
B00JEHJMG8,5,1-Dec-18,TRUE,0,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),3.3,135,"Great if you know what you want it for The phone is great, its in great condition and works perfect. I bought with the sole purpose of using it as a wifi device and music player.",Verified,Positive
B00LAEA84S,3,22-Jan-17,TRUE,0,Samsung,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,3.2,627,Three Stars for a samsum i dont like it breack very fast!!! i am not happy😣,Verified,Neutral
B07H445L82,5,27-Nov-19,TRUE,0,Samsung,Samsung SM-J737VZKAVZW Galaxy J7 V 16GB (2018) 2nd Edition for Verizon (Renewed),3.6,15,Great product and awesome price. Professional Service. Purchased for personal use. Very pleased with the product,Verified,Positive
B07VZL1W7K,5,8-Nov-19,TRUE,4,Samsung,"Samsung Galaxy A50 US Version Factory Unlocked Cell Phone with 64GB Memory, 6.4"" Screen, Black, [SM-A505UZKNXAA]",4,288,10/10 So worth the purchase! The Galaxy A50 is much more advanced than the Galaxy s10. Larger screen perfect for seeing what you're doing. I love the 64GB storage because my last phone it was pulling pins & needles just to have all of my apps & pictures at once. 10/10 would reccomend & buy again. Thank you!,Verified,Positive
B01FJT7E3M,4,2-Aug-16,TRUE,1,Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",3.6,441,"Recommended Really like this phone. The screen is amazing and its body doesn't feel so heavy, both cameras take excellent photos, but selfies cam is the best. Apps run fast and price is affordable.",Verified,Positive
B07753NSQZ,4,17-Dec-19,TRUE,0,Apple,"Apple iPhone 8, GSM Unlocked, 256GB - Space Gray (Renewed)",4,96,Works great but cosmetics aren't great. Mine has what looks to be a couple of fingerprint smudges under the glass from when it was refurbished. Other than that annoying thing the phone works great.,Verified,Neutral
B00F2SKPIM,5,27-Jan-14,TRUE,1,Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",3.9,983,"Glad I got this! I like the big screen and so many smart features. I've owned iPhone for about 4 years and I got tired of its small screen. Even some of the apps on it are better that of iPhone. I also like how you can type and correct at the middle of a word which iPhone does not allow. Also this phone is faster. Oh, one important thing that I almost forgot is that you don't need to go through any program like iTune to upload music and photos. You can download directly from computer to the phone. This phone is easier to use than I thought. I like it very much!",Verified,Positive
B07FZH9BGV,1,2-Sep-19,TRUE,1,Samsung,"Samsung Galaxy Note 9 Factory Unlocked Phone with 6.4"" Screen and 128GB (U.S. Warranty), Ocean Blue",4.1,873,Watch before u buy I fall in love with this phone the first time I got it but I eventually return it back because it doesn’t work with any network in U.S.,Verified,Negative
B00CGIULGC,1,17-Oct-14,FALSE,0,Samsung,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,3.2,365,"disappointed Very disappointed. screen cracked while in my husband's pocket, did not need to be dropped or run over. When the back cover was removed, it was full of dust and dirt. so much for dustproof! Good phone otherwise but is not tough as advertised.",Not Verified,Negative
B079142R7Y,2,26-Aug-18,TRUE,1,ASUS,ASUS ZenFone Max Plus ZB570TL-MT67-3G32G-BL - 5.7” 1920x1080-3GB RAM - 32GB storage - LTE Unlocked Dual SIM Cell Phone - US Warranty - Silver,3.5,155,"Defects on the screen The new phone that I have just purchased has irregularities in the polishing of the screen, which seems to be always tarnished or with a watermark. this is affecting the quality of the product and its cost as my experience in enjoying a phone purchased and valued as a new one.",Verified,Negative
B07YJHXZT6,5,9-Dec-19,TRUE,0,Xiaomi,"Xiaomi Redmi Note 8 64GB + 4GB RAM, 6.3"" LTE 48MP Factory Unlocked GSM Smartphone - International Version (Moonlight White)",4.6,103,OK OK,Verified,Positive
B00MWI4KKE,5,15-Aug-15,FALSE,1,Motorola,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",3.5,428,"Almost Perfect First of all I've owned several smartphones my last being the Samsung Galaxy s3 the phone before that the fascinate. I always rooted my phones and put custom roms on them cause they took months for firmware updates. This phone is nearly perfect the software is amazing nothing extra exactly what you want unlike Samsung phones LOADED with bloatware most people will never use. This phone is blazing fast, a battery that lasts me all day pretty easy and looks and feels fantastic not to mention the screen looks gorgeous as well. The one complaint I would have is the camera doesn't always focus. I personally don't use my camera all that much but my girlfriend likes to spam pictures and alot of them aren't so great even though they are very high quality. Pop a otterbox(completely worth the 50 bucks) on this puppy you got yourself a gorgeous phone that's fast doesn't exactly what you want and nothing else with no bloatware and is only 300 dollars brand freaking new. Buy it now you won't regret it unless your a picture junkie.",Not Verified,Neutral
B0787V183F,2,15-Feb-19,TRUE,1,Google,"Google Pixel 2 64 GB, Black Factory Unlocked (Renewed)",3.7,363,Lower end of the screen has come out I have got a refurbished Google pixel 2 today. It was disappointed to see its Lower end of the screen has come out and because of it creates a noise while typing. It is very annoying to hear that tapping noise.,Verified,Negative
B06XRJXL3R,1,3-Oct-19,TRUE,4,Apple,Apple iPhone 7 Plus 256GB Unlocked GSM Quad-Core Phone - Black (Renewed),4.1,153,"Beat up phone The phone arrived in a plain white box. It’s got the charging devices inside it. However, it’s got a scratch in the middle of the screen. Its got several scratches on the back of the phone are beside the front facing camera. I’ve also observed it to be quite filthy around the edges. Its got this brown sediment trapped around the edge. It does not look renewed/refurbished. This is basically second hand, just a little worse. I’m terribly disappointed by this purchase and I will be returning it. I don’t trust Amazon’s phone renewal service anymore...",Verified,Negative
B01LY3OB8D,2,15-Mar-18,TRUE,2,Google,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver),3.9,455,"it's been working fine so far The phone either won't hold a charge, or both of the chargers that came with it are faulty. Other than that, it's been working fine so far.",Verified,Neutral
B07D6TQP6F,5,14-Nov-19,TRUE,0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",3.9,436,Perfect phone Exactly what I expected.,Verified,Positive
B01NB1KG8U,5,18-Dec-19,TRUE,0,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),4,308,Good performance Working perfect,Verified,Positive
B07K2FZYKV,5,24-Apr-19,TRUE,1,Samsung,"Samsung Galaxy J7 2018 (16GB) J737A - 5.5 HD Display, Android 8.0, Octa-core 4G LTE at&T Unlocked Smartphone (Black)",4,54,nice phone haven't gotten into it much but like the look and feel of the phone. also bought a great case on amazon that is really unique. don't know about fingerprint reader. don't know if I want to do that or not.,Verified,Positive
B07D6TQP6F,3,14-Oct-19,TRUE,0,Apple,"Apple iPhone X, 256GB, Silver - For AT&T (Renewed)",3.9,436,Plus it supposed be 256 & it already says it out of storage plus I pay 2.99 a month for extra I like but sometimes it starts out ringing normal then goes way low,Verified,Negative
B01N9XOXCK,5,26-Sep-17,TRUE,0,Samsung,Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed),3.8,606,Five Stars I absolutely love it.,Verified,Positive
B00CQAODG4,5,14-Jan-18,TRUE,0,Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",3.2,349,"Large screen size, even has Microsoft Office Love this phone. It's like a laptop with a phone phone number.",Verified,Positive
B07536MYBQ,5,10-Sep-17,FALSE,10,Samsung,Samsung Galaxy Note8 N950U 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,3.9,546,Such a great phone I hate complainers.they are everywhere.This is such a wonderful phone.what the hell is wrong with u?Go and buy iPhone and use it without a pen.,Not Verified,Positive
B00WHE2WCG,5,9-Dec-16,TRUE,1,Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,2.9,338,Best Value Received in top notch condition. Charger included.,Verified,Positive
B07PY52GVP,5,19-Aug-19,FALSE,0,Xiaomi,"Xiaomi Redmi Note 7, 64GB/4GB RAM, 6.30'' FHD+, Snapdragon 660, Black - Unlocked Global Version",4.4,630,Buyer will love the brand Excellent Android phone of its kind.!,Not Verified,Positive
B07FXRR28W,5,4-Aug-19,TRUE,0,Samsung,Samsung Galaxy Note 5 SM-N920T 32GB Platinum Gold - T-Mobile,3.7,9,Great product Delivered fast great product,Verified,Positive
B00OEK6TWU,5,3-Jun-15,TRUE,0,Samsung,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,3.6,431,I am in love with this phone Very reliable phone. I would highly recommend it!,Verified,Positive
B006OU39QW,5,25-Nov-14,TRUE,0,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,4.1,252,Five Stars Worked great,Verified,Positive
B0787V183F,2,23-May-19,TRUE,0,Google,"Google Pixel 2 64 GB, Black Factory Unlocked (Renewed)",3.7,363,"device management software... could not boot device. had ""intelligent hub"" app installed on it, requiring a token/key from previous owner/admin in order to boot. I was locked out.",Verified,Negative
B00A2V7BA4,5,19-Dec-12,FALSE,8,Nokia,"Nokia Lumia 920, Black 32GB (AT&T)",3.4,468,"Great Phone I upgraded from a nexus one which was a couple years old, so most phones on the market would be an improvement. That said, I was surprised at how good this phone is. Here are the things I love about the phone compared to my older phone (newer phones might also do this): - Fantastic camera - Offline maps and offline navigation. I opted to not have a data plan at all, so this was essential. Even without data, I can use the maps to get anywhere. - The wireless charger is cool - The onenote app is awesome. I used evernote on the nexus and one time it deleted something I had written (it might have been an edge case). Anyway, I like the onenote app better and it integrates with how I take notes on my desktop machines. - Little things - I like how you can lock your screen, but configure how long it stays unlocked if you've used it recently. I like how you can press the button to take a picture even if the screen is locked (I'm sure other phones do this too, but my nexus didn't). When it's charging the little icon alternates between percentage and the charging icon (the nexus just had the charging icon). - I'm not an IE fan on the Desktop, but IE 10 on mobile is pretty slick. It might be my favorite mobile browser (on the nexus one I used the stock android browser,Firefox, and opera, but chrome wasn't available) It's a great phone, I recommend it!",Not Verified,Positive
B01JAWWVXW,5,25-Jul-18,TRUE,0,Apple,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",4.1,195,Best Excellent condition,Verified,Positive
B01CJ3SCJ6,1,17-Apr-19,TRUE,0,Samsung,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,3.2,250,Not unlocked This is a locked phone from Verizon. Stated unlocked. Can't get it to work right,Verified,Negative
B07HKQJ6H1,5,22-Nov-19,TRUE,0,Google,Google Pixel Phone 3-64GB Clearly White (Renewed),3.9,99,Love this phone What a great phone. It actually fits in my hand and I can reach both sides of the screen with the same finger. Great camera. Quick start up. Had a little difficulty getting my carrier service to work at first but it was operator error.,Verified,Positive
B01D1J9BGU,3,4-Sep-18,TRUE,0,Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,3.8,783,If this was a new phone at all Dissatisfied that after 9 months the proximity sensor on my phone doesn’t work,Verified,Negative
B07VD3JH2C,5,10-Dec-19,TRUE,0,Xiaomi,"Xiaomi Mi A3 64GB + 4GB RAM, Triple Camera, 4G LTE Smartphone - International Global Version (Not just Blue)",4.5,252,"This is an excellent phone for the price, beyond expectation. I've heard all the complaints online: the resolution sucks, the finger scanner sucks, the screen brightness sucks. A: You cannot tell this has a 720p resolution, and the phone runs SMOOTH. Period. B: The scanner works well, IF you give it the correct placement. It's guilty of being very sensitive. That's a good thing. C: The brightness can need adjusting in the daylight, that I will not argue. But it's manageable. The battery? Amazing. I've pushed this thing with graphic intensive apps, and by the end of the day, still had somewhere around 70% of the battery left. I mostly use for phone and text. But if you have apps that stay on in the background, like twitter or other social media energy vampires, expect it to go faster. And the camera is awesome. Going from a Acatel Idol 5 to this, it's like night an day. It's not going to wow Photography aficionados, but to the rest of us, this camera screams to be used. The three lenses (48 megapixel main, 5mp width and 2mp depth) help create a smooth and detailed shot. Warning: you better get yourself a really good screen protector if you're a serial klutz. This screen cracked with my BESTALICE case for the Mi A3, and when the protector cracked, it gave me a hairline crack to the actual screen. If you treat your phone like you treat your laundry, look elsewhere. This phone is not designed for careless people.",Verified,Positive
B07FZH9BGV,5,11-Jan-19,TRUE,0,Samsung,"Samsung Galaxy Note 9 Factory Unlocked Phone with 6.4"" Screen and 128GB (U.S. Warranty), Ocean Blue",4.1,873,Mi wife loves it. Bought this for my wife as a present and she really loves it. The battery last all day.,Verified,Positive
B011AC4U7A,5,2-Jul-16,TRUE,0,Samsung,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black,3.3,142,EXCELLENT Came exactly as described and earlier than the original time plus it's super fast,Verified,Positive
B00LAEA84S,5,16-Apr-17,TRUE,0,Samsung,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,3.2,627,Recommend you buy a micro sim as it does not ... Works with Verizon in the US. Had to switch my phone after the last one broke. Recommend you buy a micro sim as it does not come with it.Great phone and brand new,Verified,Negative
B01NB1KG8U,4,4-Mar-19,TRUE,0,Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),4,308,Good phone! Love the phone. Hate the battery life. And it takes a while to charge. But good for the price I love it.,Verified,Neutral
B06Y14K2C6,5,22-Dec-19,TRUE,0,Samsung,"Samsung Galaxy S8+ 64GB Phone -6.2"" display - T-Mobile Unlocked (Arctic Silver)",4.1,83,Great buy It's a great buy no problems or scratches,Verified,Positive
B00JEHJMG8,5,20-Jul-17,TRUE,0,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),3.3,135,"I would buy again... Was perfect, exactly as described",Verified,Positive
B07FM9913M,3,15-Oct-18,FALSE,3,Xiaomi,"Unlocked GOLD Xiaomi Mi A2, 4GB 64GB, Dual SIM standby, Global Version, 5.5 inch Smartphone Android One, Dual Rear 12.0MP Camera Snapdragon 625",4.2,453,"sound output!!! the sound output is so low if you are interested about volume output quality dont buy it to my shock everything was fine and the phone is great by it self super fast and smooth but i didnt expect the volume output to be so low i have used headphones and bluetooth speaker and bluetooth car stereo system , each one of them was worse than the other",Not Verified,Negative
B07HFHX6HX,1,1-Dec-19,TRUE,1,Samsung,Samsung Galaxy Note 8 N950U 64GB Unlocked GSM 4G LTE Android Smartphone w/Dual 12 MegaPixel Camera (Renewed) (Midnight Black),4.2,551,Not happy for the first time but I need a phone because of my job I got it in bad shape dents a long scratch on the screen I never got anything in bad shape and there is always a first time for everything,Verified,Positive
B07Q26V49K,5,25-Jun-19,TRUE,0,Xiaomi,"Xiaomi Redmi Note 7, 64GB/4GB RAM, 6.30'' FHD+, Snapdragon 660, Blue - Unlocked Global Version, No Warranty",4.5,471,Speaker could be in a better spot. Kool,Verified,Positive
B07WSJYDXX,3,16-May-19,TRUE,0,Motorola,Motorola G6 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Deep Indigo - (U.S. Warranty) - PAAE0011US,3.9,836,"Meh. I wanted a cheap phone this time around and bought this one based off of many positive reviews from consumers and professional reviewers. The camera is not good. It was worse than the 3 year old mid level phone I was replacing. I can't find any settings to increase the file size for quality so I think it's as good as it gets. The pictures just always look a little low res and blurry. It is also slow. I don't have a ton of apps installed but maybe one of them is giving me trouble. I do get great battery life and it charges fast over usb-c. Size, form factor, and screen are all good enough for the price. Call sound quality is good. I wish I had spent a bit more money and got something with a better camera.",Verified,Negative
B07MF3Y8Y5,5,7-Mar-19,TRUE,2,Motorola,Motorola G6 (XT1925) 32GB GSM Unlocked Android Smartphone (AT&T/T-Mobile/Mint) - Black (Renewed),4.1,73,"Good phone, but battery doesnt hold up Only had the phone 1 month and it wont hold a charge very well.",Verified,Neutral
